,ants,rain,plant,detritus,sediment,bacteria,protozoa,mosquitoes,N,atmosphere
ants,0,0,0,theta_A,0,0,0,0,0,0
rain,0,0,0,0,0,0,0,0,theta_N,0
plant,0,0,0,0,0,0,0,0,0,0
detritus,0,0,0,0,s * D,u_B * D * B,0,0,0,0
sediment,0,0,0,0,0,0,0,0,0,0
bacteria,0,0,0,m_B * B,0,0,u_P * B * P,0,(r_B * B) / alpha ,r_B * B
protozoa,0,0,0,m_P * P,0,0,0,u_M * P,(r_P * P) / alpha,r_P * P
mosquitoes,0,0,0,0,0,0,0,0,(r_M * u_M * P) / alpha,r_M * u_M * P
N,0,0,y * N,0,0,0,0,0,0,0
atmosphere,0,0,0,0,0,0,0,0,0,0
